basis,name,position,base_value,mult_flat,mult_curve,value_flat,value_curve,divergence,rank_flat,rank_curve,rank_shift
ktc,Emeka Egbuka,WR,6334,0.853,0.86,5403,5446,+0.8%,50,45,5
ktc,Colston Loveland,TE,7007,0.936,0.936,6559,6557,-0.0%,28,24,4
ktc,Patrick Mahomes,QB,6307,0.967,0.895,6099,5644,-7.5%,37,39,-2
ktc,Jaxson Dart,QB,6263,0.967,0.896,6056,5612,-7.3%,39,41,-2
ktc,Trevor Lawrence,QB,6246,0.967,0.896,6040,5599,-7.3%,40,42,-2
ktc,Jonathan Taylor,RB,6190,1.296,1.36,8022,8416,+4.9%,11,8,3
ktc,James Cook,RB,6137,1.296,1.356,7954,8319,+4.6%,12,9,3
ktc,Jalen Hurts,QB,6134,0.967,0.899,5932,5516,-7.0%,43,43,0
ktc,George Pickens,WR,6106,0.853,0.861,5208,5256,+0.9%,54,49,5
ktc,Carnell Tate,WR,5976,0.853,0.861,5098,5148,+1.0%,56,52,4
ktc,Tyler Warren,TE,6594,0.936,0.944,6172,6223,+0.8%,35,32,3
ktc,Bo Nix,QB,5929,0.967,0.905,5733,5363,-6.5%,44,46,-2
ktc,Brock Purdy,QB,5804,0.967,0.908,5612,5270,-6.1%,46,48,-2
ktc,Kenneth Walker III,RB,5625,1.296,1.315,7290,7399,+1.5%,18,16,2
ktc,Ladd McConkey,WR,5624,0.853,0.863,4797,4853,+1.2%,60,59,1
ktc,Chris Olave,WR,5610,0.853,0.863,4785,4842,+1.2%,61,60,1
ktc,Nico Collins,WR,5556,0.853,0.863,4739,4796,+1.2%,64,62,2
ktc,Quinshon Judkins,RB,5546,1.296,1.309,7188,7260,+1.0%,20,17,3
ktc,Garrett Wilson,WR,5516,0.853,0.863,4705,4763,+1.2%,66,64,2
ktc,DeVonta Smith,WR,5483,0.853,0.864,4677,4735,+1.2%,67,65,2
ktc,Luther Burden,WR,5480,0.853,0.864,4674,4733,+1.2%,68,66,2
ktc,Jordan Love,QB,5434,0.967,0.919,5255,4991,-5.0%,52,56,-4
ktc,Chase Brown,RB,5391,1.296,1.296,6987,6988,+0.0%,22,18,4
ktc,Fernando Mendoza,QB,5389,0.967,0.92,5211,4957,-4.9%,53,58,-5
ktc,Jordyn Tyson,WR,5329,0.853,0.864,4546,4606,+1.3%,73,68,5
ktc,TreVeyon Henderson,RB,5313,1.296,1.29,6886,6852,-0.5%,23,19,4
ktc,Breece Hall,RB,5288,1.296,1.288,6853,6809,-0.6%,25,20,5
ktc,Christian McCaffrey,RB,5268,1.296,1.286,6827,6774,-0.8%,26,22,4
ktc,Rome Odunze,WR,5231,0.853,0.865,4462,4524,+1.4%,78,69,9
ktc,Cam Ward,QB,5231,0.967,0.925,5058,4837,-4.4%,57,61,-4
ktc,Saquon Barkley,RB,5047,1.296,1.267,6541,6395,-2.2%,29,29,0
ktc,Zay Flowers,WR,5027,0.853,0.866,4288,4353,+1.5%,82,75,7
ktc,Makai Lemon,WR,5012,0.853,0.866,4275,4340,+1.5%,83,76,7
