rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,bb10,rtsports,underdog,drafters,draftkings,avg,sleeper_id
457,Chris Moore,15654,chris-moore,,,WR,172,&nbsp;,&nbsp;,410,&nbsp;,&nbsp;,410.0,3269
458,Charlie Kolar,22756,charlie-kolar,LAC,5,TE,72,&nbsp;,&nbsp;,411,&nbsp;,&nbsp;,411.0,8127
459,Drew Sample,18561,drew-sample,CIN,7,TE,73,&nbsp;,&nbsp;,413,&nbsp;,&nbsp;,413.0,6001
460,Bam Knight,24901,zonovan-bam-knight,ARI,14,RB,120,&nbsp;,&nbsp;,414,&nbsp;,&nbsp;,414.0,8122
461,Jarrett Stidham,18604,jarrett-stidham,DEN,9,QB,63,&nbsp;,&nbsp;,415,&nbsp;,&nbsp;,415.0,6136
462,Teddy Bridgewater,12088,teddy-bridgewater,DET,9,QB,64,&nbsp;,&nbsp;,416,&nbsp;,&nbsp;,416.0,2152
463,Nick Mullens,16726,nick-mullens,JAC,9,QB,65,&nbsp;,&nbsp;,417,&nbsp;,&nbsp;,417.0,4464
464,Jake Browning,18557,jake-browning,TB,5,QB,66,&nbsp;,&nbsp;,418,&nbsp;,&nbsp;,418.0,6111
465,Drew Lock,18225,drew-lock,SEA,5,QB,67,&nbsp;,&nbsp;,421,&nbsp;,&nbsp;,421.0,5854
466,Cooper Rush,16477,cooper-rush,,,QB,68,&nbsp;,&nbsp;,422,&nbsp;,&nbsp;,422.0,4574
467,Patrick Taylor Jr.,19544,patrick-taylor,SF,9,RB,121,&nbsp;,&nbsp;,423,&nbsp;,&nbsp;,423.0,6963
468,Hunter Luepke,25941,hunter-luepke,DAL,7,RB,122,&nbsp;,&nbsp;,424,&nbsp;,&nbsp;,424.0,
469,Tre' McKitty,22807,tre-mckitty,,,TE,74,&nbsp;,&nbsp;,425,&nbsp;,&nbsp;,425.0,7554
470,Velus Jones Jr.,24214,velus-jonesjr,SEA,5,WR,173,&nbsp;,&nbsp;,426,&nbsp;,&nbsp;,426.0,8223
471,Travis Vokolek,25820,travis-vokolek,,,TE,75,&nbsp;,&nbsp;,427,&nbsp;,&nbsp;,427.0,11381
472,Sean Clifford,20073,sean-clifford,CIN,7,QB,69,&nbsp;,&nbsp;,429,&nbsp;,&nbsp;,429.0,10983
473,Tanner McKee,24740,tanner-mckee,PHI,10,QB,70,&nbsp;,&nbsp;,430,&nbsp;,&nbsp;,430.0,9230
474,Ben Roethlisberger,9039,ben-roethlisberger,,,QB,71,&nbsp;,&nbsp;,432,&nbsp;,&nbsp;,432.0,138
475,Austin Watkins Jr.,22798,austin-watkins,,,WR,174,&nbsp;,&nbsp;,433,&nbsp;,&nbsp;,433.0,7579
476,D'Eriq King,19783,deriq-king,,,QB,72,&nbsp;,&nbsp;,434,&nbsp;,&nbsp;,434.0,8199
477,Jalen Brooks,25468,jalen-brooks,ARI,14,WR,175,&nbsp;,&nbsp;,435,&nbsp;,&nbsp;,435.0,11034
478,T.Y. Hilton,11206,ty-hilton,,,WR,176,&nbsp;,&nbsp;,436,&nbsp;,&nbsp;,436.0,1110
479,Chandler Cox,18686,chandler-cox,,,RB,123,&nbsp;,&nbsp;,437,&nbsp;,&nbsp;,437.0,
480,Josh Doctson,15511,josh-doctson,,,WR,177,&nbsp;,&nbsp;,439,&nbsp;,&nbsp;,439.0,3178
481,Luke Farrell,19501,luke-farrell,SF,9,TE,76,&nbsp;,&nbsp;,440,&nbsp;,&nbsp;,440.0,7842
482,Andy Isabella,18409,andy-isabella,,,WR,178,&nbsp;,&nbsp;,442,&nbsp;,&nbsp;,442.0,5915
483,ZaQuandre White,24669,zaquandre-white,,,RB,124,&nbsp;,&nbsp;,443,&nbsp;,&nbsp;,443.0,8173
484,Tay Martin,24029,tay-martin,DET,9,WR,179,&nbsp;,&nbsp;,444,&nbsp;,&nbsp;,444.0,8250
485,Alec Ingold,18571,alec-ingold,LAC,5,RB,125,&nbsp;,&nbsp;,445,&nbsp;,&nbsp;,445.0,
486,Antonio Brown,9808,antonio-brown,,,WR,180,&nbsp;,&nbsp;,446,&nbsp;,&nbsp;,446.0,536
