rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,espn,sleeper,cbs,nfl,rtsports,fantrax,avg,sleeper_id
84,Tarik Cohen,16450,tarik-cohen,,,RB,32,105,&nbsp;,&nbsp;,&nbsp;,84,70,85.6,4157
85,Duke Johnson Jr.,13939,duke-johnson,,,RB,33,76,&nbsp;,&nbsp;,&nbsp;,80,88,86.6,2382
86,Kirk Cousins,11177,kirk-cousins,LV,,QB,8,87,&nbsp;,&nbsp;,&nbsp;,97,93,88.0,1166
87,Jamison Crowder,13976,jamison-crowder,,,WR,37,102,&nbsp;,&nbsp;,&nbsp;,74,84,88.4,2410
88,Robbie Chosen,15688,robby-anderson,,,WR,38,83,&nbsp;,&nbsp;,&nbsp;,89,98,89.8,3423
89,Chris Carson,16754,chris-carson,,,RB,34,82,&nbsp;,&nbsp;,&nbsp;,62,148,90.4,4273
90,Andrew Luck,11172,andrew-luck,,,QB,9,81,&nbsp;,&nbsp;,&nbsp;,95,114,92.0,1111
91,Pierre Garcon,9510,pierre-garcon,,,WR,39,86,&nbsp;,&nbsp;,&nbsp;,87,74,92.6,269
92,Jordy Nelson,9320,jordy-nelson,,,WR,40,100,&nbsp;,&nbsp;,&nbsp;,101,87,93.2,175
93,Isaiah Crowell,12116,isaiah-crowell,,,RB,35,106,&nbsp;,&nbsp;,&nbsp;,73,94,94.8,1901
94,Matthew Stafford,9451,matthew-stafford,LAR,12,QB,10,104,&nbsp;,&nbsp;,&nbsp;,86,103,97.0,421
95,Randall Cobb,9902,randall-cobb,,,WR,41,101,&nbsp;,&nbsp;,&nbsp;,103,91,99.4,928
96,Ben Roethlisberger,9039,ben-roethlisberger,,,QB,11,78,&nbsp;,&nbsp;,&nbsp;,100,108,100.6,138
97,Nelson Agholor,13969,nelson-agholor,,,WR,42,110,&nbsp;,&nbsp;,&nbsp;,104,96,102.0,2325
98,Marlon Mack,16444,marlon-mack,,,RB,36,153,&nbsp;,&nbsp;,&nbsp;,98,83,104.8,4152
99,Jimmy Garoppolo,12208,jimmy-garoppolo,LAR,12,QB,12,108,&nbsp;,&nbsp;,&nbsp;,109,102,105.2,1837
100,Sterling Shepard,15569,sterling-shepard,,,WR,43,93,&nbsp;,&nbsp;,&nbsp;,114,100,105.6,3200
101,Peyton Barber,15920,peyton-barber,,,RB,37,97,&nbsp;,&nbsp;,&nbsp;,106,162,106.4,3594
102,Matt Ryan,9444,matt-ryan,,,QB,13,99,&nbsp;,&nbsp;,&nbsp;,105,116,107.0,24
103,Jack Doyle,11987,jack-doyle,,,TE,10,103,&nbsp;,&nbsp;,&nbsp;,113,106,108.6,1706
104,Chris Thompson,11651,chris-thompson,,,RB,38,80,&nbsp;,&nbsp;,&nbsp;,61,233,109.0,1502
105,Philip Rivers,9509,philip-rivers,,,QB,14,118,&nbsp;,&nbsp;,&nbsp;,111,110,109.0,331
106,Ronald Jones II,17243,ronald-jones-ii,,,RB,39,171,&nbsp;,&nbsp;,&nbsp;,102,55,112.4,
107,David Njoku,16399,david-njoku,LAC,8,TE,11,117,&nbsp;,&nbsp;,&nbsp;,107,129,112.6,4033
108,Kelvin Benjamin,12121,kelvin-benjamin,,,WR,44,109,&nbsp;,&nbsp;,&nbsp;,112,105,113.8,2182
109,Kenny Stills,11611,kenny-stills,,,WR,45,123,&nbsp;,&nbsp;,&nbsp;,117,118,115.8,1555
110,James White,12195,james-white,,,RB,40,121,&nbsp;,&nbsp;,&nbsp;,108,133,116.0,1848
111,Aaron Jones Sr.,16673,aaron-jones,MIN,10,RB,41,146,&nbsp;,&nbsp;,&nbsp;,110,104,116.8,4199
112,Patrick Mahomes II,16413,patrick-mahomes,KC,12,QB,15,122,&nbsp;,&nbsp;,&nbsp;,120,120,120.8,4046
113,Jared Goff,15501,jared-goff,DET,6,QB,16,120,&nbsp;,&nbsp;,&nbsp;,130,111,121.0,3163
114,DeVante Parker,13897,devante-parker,,,WR,46,151,&nbsp;,&nbsp;,&nbsp;,116,89,125.2,2319
115,Allen Hurns,12996,allen-hurns,,,WR,47,128,&nbsp;,&nbsp;,&nbsp;,118,113,125.2,1984
116,Adrian Peterson,9006,adrian-peterson-min,,,RB,42,90,&nbsp;,&nbsp;,&nbsp;,140,214,125.4,184
117,Nick Chubb,17246,nick-chubb,,,RB,43,156,&nbsp;,&nbsp;,&nbsp;,124,97,127.4,4988
118,C.J. Anderson,11896,cj-anderson,,,RB,44,168,&nbsp;,&nbsp;,&nbsp;,99,101,130.2,1451
119,Greg Zuerlein,11345,greg-zuerlein,,,K,1,96,&nbsp;,&nbsp;,&nbsp;,158,119,134.2,1266
120,Alex Smith,9012,alex-smith,,,QB,17,116,&nbsp;,&nbsp;,&nbsp;,153,127,134.4,268
121,Matt Breida,17058,matt-breida,,,RB,45,127,&nbsp;,&nbsp;,&nbsp;,132,161,134.8,4455
122,Calvin Ridley,17258,calvin-ridley,TEN,8,WR,48,158,&nbsp;,&nbsp;,&nbsp;,135,128,135.6,4981
123,Stephen Gostkowski,9573,stephen-gostkowski,,,K,2,94,&nbsp;,&nbsp;,&nbsp;,156,132,136.2,110
