rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,espn,sleeper,cbs,nfl,rtsports,fantrax,avg,sleeper_id
237,Marquez Valdes-Scantling,17528,marquez-valdesscantling,DAL,7,WR,78,&nbsp;,205,&nbsp;,245,219,251,230.0,5086
238,Carolina Panthers,8040,,,13,DST,22,232,226,&nbsp;,231,252,288,245.8,
239,Le'Veon Bell,11645,leveon-bell,,,RB,65,216,238,&nbsp;,263,212,&nbsp;,232.3,1408
240,Cam Newton,9869,cam-newton,,,QB,31,229,258,&nbsp;,198,&nbsp;,254,234.8,954
241,Chris Boswell,13029,chris-boswell,PIT,7,K,18,215,&nbsp;,&nbsp;,193,229,321,239.5,1945
242,Jerick McKinnon,12209,jerick-mckinnon,,,RB,66,&nbsp;,237,&nbsp;,269,178,258,235.5,2161
243,Sammy Watkins,12118,sammy-watkins,,,WR,79,&nbsp;,207,&nbsp;,237,239,261,236.0,1817
244,Jared Goff,15501,jared-goff,DET,9,QB,32,208,&nbsp;,&nbsp;,244,279,221,238.0,3163
245,Boston Scott,17612,boston-scott,,,RB,67,&nbsp;,204,&nbsp;,297,206,248,238.8,5122
246,Cam Akers,19268,cam-akers,,,RB,68,226,&nbsp;,&nbsp;,134,&nbsp;,455,271.7,6938
247,O.J. Howard,16380,oj-howard,,,TE,27,221,243,&nbsp;,270,278,262,254.8,4055
248,Kadarius Toney,20119,kadarius-toney,,,WR,80,&nbsp;,224,&nbsp;,261,249,241,243.8,7606
249,Todd Gurley II,13912,todd-gurley,,,RB,69,&nbsp;,&nbsp;,&nbsp;,212,241,223,225.3,2315
250,Teddy Bridgewater,12088,teddy-bridgewater,DET,9,QB,33,206,&nbsp;,&nbsp;,239,263,287,248.8,2152
251,Evan McPherson,23297,evan-mcpherson,CIN,10,K,19,219,&nbsp;,&nbsp;,273,254,249,248.8,7839
252,Carlos Hyde,12105,carlos-hyde,,,RB,70,&nbsp;,228,&nbsp;,278,213,279,249.5,2257
