value_basis,format,scope,year,archetype_id,pair_key,pos_a,pos_b,pair_plugs,total_hvorp_a,total_hvorp_b,rel_diff_pct
ktc,hwang,archetype,2022,2026_2,WR_vs_TE,WR,TE,37400,1148071.5,1586425,-32.1
ktc,hwang,archetype,2022,2026_3,QB_vs_RB,QB,RB,25200,1640692.4,1793235.2,-8.9
ktc,hwang,archetype,2022,2026_3,QB_vs_WR,QB,WR,40000,2652382.7,1781960.6,39.3
ktc,hwang,archetype,2022,2026_3,QB_vs_TE,QB,TE,11800,643082.5,447915.1,35.8
ktc,hwang,archetype,2022,2026_3,RB_vs_WR,RB,WR,78200,5581620.3,3065121.8,58.2
ktc,hwang,archetype,2022,2026_3,RB_vs_TE,RB,TE,33400,1585305.9,1239918.7,24.5
ktc,hwang,archetype,2022,2026_3,WR_vs_TE,WR,TE,37400,1128531.2,1510618.6,-29
ktc,hwang,archetype,2022,2026_4,QB_vs_RB,QB,RB,25200,1095736.8,1932556.3,-55.3
ktc,hwang,archetype,2022,2026_4,QB_vs_WR,QB,WR,40000,1728869.4,1846239.4,-6.6
ktc,hwang,archetype,2022,2026_4,QB_vs_TE,QB,TE,11800,409200.4,462998.5,-12.3
ktc,hwang,archetype,2022,2026_4,RB_vs_WR,RB,WR,78200,6021911.4,3154527.8,62.5
ktc,hwang,archetype,2022,2026_4,RB_vs_TE,RB,TE,33400,1748604.8,1278401.5,31.1
ktc,hwang,archetype,2022,2026_4,WR_vs_TE,WR,TE,37400,1168039.5,1560695.9,-28.8
ktc,hwang,archetype,2022,2026_5,QB_vs_RB,QB,RB,25200,1576210.3,1438591.6,9.1
ktc,hwang,archetype,2022,2026_5,QB_vs_WR,QB,WR,40000,2547833.1,1864238.7,31
ktc,hwang,archetype,2022,2026_5,QB_vs_TE,QB,TE,11800,609307.3,404677.1,40.4
ktc,hwang,archetype,2022,2026_5,RB_vs_WR,RB,WR,78200,4525142.9,3223112.5,33.6
ktc,hwang,archetype,2022,2026_5,RB_vs_TE,RB,TE,33400,1250618.8,1107826.6,12.1
ktc,hwang,archetype,2022,2026_5,WR_vs_TE,WR,TE,37400,1196600.6,1361285.8,-12.9
ktc,hwang,archetype,2022,2026_6,QB_vs_RB,QB,RB,25200,1536958,1661234.2,-7.8
ktc,hwang,archetype,2022,2026_6,QB_vs_WR,QB,WR,40000,2494623,2018410.9,21.1
ktc,hwang,archetype,2022,2026_6,QB_vs_TE,QB,TE,11800,589093.3,480441.3,20.3
ktc,hwang,archetype,2022,2026_6,RB_vs_WR,RB,WR,78200,5177191.3,3509863.3,38.4
ktc,hwang,archetype,2022,2026_6,RB_vs_TE,RB,TE,33400,1459174.6,1313194.2,10.5
ktc,hwang,archetype,2022,2026_6,WR_vs_TE,WR,TE,37400,1312133.5,1607478.6,-20.2
ktc,hwang,archetype,2022,2026_7,QB_vs_RB,QB,RB,25200,2041115.3,1814644,11.7
ktc,hwang,archetype,2022,2026_7,QB_vs_WR,QB,WR,40000,3317354.4,2166338.2,42
ktc,hwang,archetype,2022,2026_7,QB_vs_TE,QB,TE,11800,797681.4,503661.2,45.2
ktc,hwang,archetype,2022,2026_7,RB_vs_WR,RB,WR,78200,5678617.7,3764364.2,40.5
ktc,hwang,archetype,2022,2026_7,RB_vs_TE,RB,TE,33400,1626432.5,1385511.3,16
ktc,hwang,archetype,2022,2026_7,WR_vs_TE,WR,TE,37400,1417537.6,1682043.4,-17.1
ktc,hwang,year,2023,,QB_vs_RB,QB,RB,596600,31137910.6,35779473.6,-13.9
ktc,hwang,year,2023,,QB_vs_WR,QB,WR,722000,39127139,34513202.4,12.5
ktc,hwang,year,2023,,QB_vs_TE,QB,TE,262200,11710690.2,9922772,16.5
ktc,hwang,year,2023,,RB_vs_WR,RB,WR,1565600,83480426.9,60192364.9,32.4
ktc,hwang,year,2023,,RB_vs_TE,RB,TE,630800,33327550.4,24207588.6,31.7
ktc,hwang,year,2023,,WR_vs_TE,WR,TE,843600,29786204.1,31090653.9,-4.3
ktc,hwang,archetype,2023,2024_1,QB_vs_RB,QB,RB,31400,2108984.9,1798260.8,15.9
ktc,hwang,archetype,2023,2024_1,QB_vs_WR,QB,WR,38000,2577524,2004262.9,25
ktc,hwang,archetype,2023,2024_1,QB_vs_TE,QB,TE,13800,781612.9,545162.7,35.6
ktc,hwang,archetype,2023,2024_1,RB_vs_WR,RB,WR,82400,4182525.4,3522536.3,17.1
ktc,hwang,archetype,2023,2024_1,RB_vs_TE,RB,TE,33200,1667061.6,1328631.8,22.6
ktc,hwang,archetype,2023,2024_1,WR_vs_TE,WR,TE,44400,1755211.8,1701126.5,3.1
