year,name,position,team,sleeper_id,overall_rank,bb_avg_adp,bb_stack_rank,bb_eff_rank,half_stack_rank,std_stack_rank,scoring_rank_shift,hwang_eff_rank,hwang_adjusted_adp,hwang_pos_rank,adp_delta,adp_source,scoring_source
2026,Matthew Golden,WR,GB,12501,136,109.2,47,47.74,50,56,6,53.74,130.4,57,21.2,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Tyler Shough,QB,NO,12545,137,130.8,20,20.04,,,,20.0,130.8,20,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Mark Andrews,TE,BAL,5012,138,133.0,16,15.4,,,,16.0,133.0,16,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Malik Willis,QB,MIA,8161,139,135.4,21,20.69,,,,21.0,135.4,21,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Denzel Boston,WR,CLE,13346,140,154.4,60,60.26,64,60,-4,56.26,135.9,58,-18.5,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Deebo Samuel Sr.,WR,SF,5872,141,130.8,54,53.55,51,54,3,56.55,136.9,59,6.1,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Jonah Coleman,RB,DEN,13345,142,138.2,47,47.02,47,47,0,47.0,138.2,46,0.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Zach Charbonnet,RB,SEA,9753,143,156.2,52,51.19,50,46,-4,47.19,139.0,47,-17.2,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Sam Darnold,QB,SEA,4943,144,144.2,22,22.52,,,,22.0,144.2,22,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Emmett Johnson,RB,KC,13337,145,155.6,51,51.14,54,52,-2,49.14,146.0,48,-9.6,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
