value_basis,format,year,player_id,name,position,value,season_pts
ktc,hwang,2022,8211,Tyrion Davis-Price,RB,2155,7.2
ktc,hwang,2022,3214,Hunter Henry,TE,2153,76.2
ktc,hwang,2022,4197,Isaiah McKenzie,WR,2146,75.9
ktc,hwang,2022,6805,KJ Hamler,WR,2141,18.8
ktc,hwang,2022,5086,Marquez Valdes-Scantling,WR,2124,77.7
ktc,hwang,2022,2307,Marcus Mariota,QB,2061,196.6
ktc,hwang,2022,7568,Brevin Jordan,TE,2045,19.8
ktc,hwang,2022,1535,Cordarrelle Patterson,RB,2038,125.8
ktc,hwang,2022,3976,Mitchell Trubisky,QB,1902,73.9
ktc,hwang,2022,8172,Greg Dulcich,TE,1868,69.6
ktc,hwang,2022,8188,Tyquan Thornton,WR,1831,43
ktc,hwang,2022,3271,Tyler Higbee,TE,1823,110.7
ktc,hwang,2022,5917,Mecole Hardman,WR,1782,68.8
ktc,hwang,2022,8225,Daniel Bellinger,TE,1773,60
ktc,hwang,2022,6824,Donovan Peoples-Jones,WR,1772,101.9
ktc,hwang,2022,8134,Khalil Shakir,WR,1762,21.3
ktc,hwang,2022,6951,Eno Benjamin,RB,1734,64.3
ktc,hwang,2022,6853,Van Jefferson,WR,1734,48.8
ktc,hwang,2022,4066,Evan Engram,TE,1729,135.7
ktc,hwang,2022,1837,Jimmy Garoppolo,QB,1724,164.8
ktc,hwang,2022,5880,Parris Campbell,WR,1702,79.3
ktc,hwang,2022,6804,Jordan Love,QB,1694,11.7
ktc,hwang,2022,2319,DeVante Parker,WR,1688,52
ktc,hwang,2022,4149,Jamaal Williams,RB,1589,194.7
ktc,hwang,2022,8111,Cade Otton,TE,1544,71.1
ktc,hwang,2022,8123,Hassan Haskins,RB,1490,13.4
ktc,hwang,2022,7594,Chuba Hubbard,RB,1478,66.8
