value_basis,format,year,archetype_id,player_id,avg_hvorp,avg_hvorp_weighted,build_count,avg_base_total,removal_pairs
ktc,hwang,2021,2024_3,5987,63.5,63.1,1000,2102,1937
ktc,hwang,2021,2024_3,5995,0,0,1000,2102,1937
ktc,hwang,2021,2024_3,6011,7.3,7.1,1000,2102,1937
ktc,hwang,2021,2024_3,6039,53.1,52.7,1000,2102,1937
ktc,hwang,2021,2024_3,6130,92.2,91.5,1000,2102,1937
ktc,hwang,2021,2024_3,6136,0,0,1000,2102,1937
ktc,hwang,2021,2024_3,6144,0.1,0.1,1000,2102,1937
ktc,hwang,2021,2024_3,6149,17.5,17.4,1000,2102,1937
ktc,hwang,2021,2024_3,6598,0.3,0.3,1000,2102,1937
ktc,hwang,2021,2024_3,6659,16.9,16.7,1000,2102,1937
ktc,hwang,2021,2024_3,6694,46.9,46.7,1000,2102,1937
ktc,hwang,2021,2024_3,6770,205.5,204.3,1000,2102,1937
ktc,hwang,2021,2024_3,6797,257.3,255.8,1000,2102,1937
ktc,hwang,2021,2024_3,6801,111.3,111,1000,2102,1937
ktc,hwang,2021,2024_3,6803,69.5,69,1000,2102,1937
ktc,hwang,2021,2024_3,6805,0.5,0.5,1000,2102,1937
ktc,hwang,2021,2024_3,6806,0,0,1000,2102,1937
ktc,hwang,2021,2024_3,6814,27.6,27.3,1000,2102,1937
ktc,hwang,2021,2024_3,6824,45.9,45.7,1000,2102,1937
ktc,hwang,2021,2024_3,6828,97.9,97.4,1000,2102,1937
ktc,hwang,2021,2024_3,6845,52.5,52,1000,2102,1937
ktc,hwang,2021,2024_3,6849,2.9,2.8,1000,2102,1937
ktc,hwang,2021,2024_3,6850,21.8,21.5,1000,2102,1937
ktc,hwang,2021,2024_3,6853,71.5,71.1,1000,2102,1937
ktc,hwang,2021,2024_3,6865,0.1,0.1,1000,2102,1937
ktc,hwang,2021,2024_3,6885,13.4,13.3,1000,2102,1937
ktc,hwang,2021,2024_3,6886,61.3,60.9,1000,2102,1937
ktc,hwang,2021,2024_3,6927,24.4,24.2,1000,2102,1937
ktc,hwang,2021,2024_3,6931,20.1,20,1000,2102,1937
ktc,hwang,2021,2024_3,6938,0,0,1000,2102,1937
ktc,hwang,2021,2024_3,6943,55.8,55.5,1000,2102,1937
ktc,hwang,2021,2024_3,6951,9,8.9,1000,2102,1937
ktc,hwang,2021,2024_3,6960,12.1,12,1000,2102,1937
ktc,hwang,2021,2024_3,6989,67.2,66.9,1000,2102,1937
