value_basis,format,year,archetype_id,archetype_label,build_count,removal_pairs
comp,regular,2023,2025_1,2025 #1 — Lord Pittsy Flacco Joedy (15-3),1000,3852
comp,regular,2023,2025_2,2025 #2 — seanjcrow (14-4),1000,9110
comp,regular,2023,2025_3,2025 #3 — Drake & Bake (13-5),1000,6948
comp,regular,2023,2025_4,2025 #4 — The Ladds (12-6),1000,11168
comp,regular,2023,2025_5,2025 #5 — House of Hwang (11-7),1000,6583
comp,regular,2023,2025_6,2025 #6 — aidsonballs (11-7),1000,6094
comp,regular,2023,2026_1,2026 #1 — The Ladds,1000,10963
comp,regular,2023,2026_2,2026 #2 — seanjcrow,1000,7267
comp,regular,2023,2026_3,2026 #3 — Eat It While She Sleeper,1000,9330
comp,regular,2023,2026_4,2026 #4 — Drake & Bake,1000,9445
comp,regular,2023,2026_5,2026 #5 — Lord Pittsy Flacco Joedy,1000,6103
comp,regular,2023,2026_6,2026 #6 — House of Hwang,1000,8768
comp,regular,2023,2026_7,2026 #7 — MrZaccheaus,1000,7986
comp,regular,2024,2024_1,2024 #1 — Let James Cook (16-2),1000,5861
comp,regular,2024,2024_2,2024 #2 — Age is just a number (15-3),1000,7729
comp,regular,2024,2024_3,2024 #3 — Adam(s) and Steve(nson) (12-6),1000,5384
comp,regular,2024,2024_4,2024 #4 — We Have McCaffrey at Home (11-7),1000,5142
comp,regular,2024,2024_5,2024 #5 — The Boomers (11-7),1000,4586
comp,regular,2024,2024_6,2024 #6 — seanjcrow (9-9),1000,6423
