year,archetype_id,archetype_label,build_index,variant,stack_class,stack_count,roster_wr1_qb_stack,any_qb_wr_same_team,season_total,weekly_std,roster_value,stack_teams,stack_names,roster_wr1_name,roster_wr1_team
2021,2024_1,2024 #1 — Let James Cook (16-2),23,single,single,1,1,1,1959.8,24.11,52948,CHI,Justin Fields/Darnell Mooney (CHI),Jerry Jeudy,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),23,multi,multi,2,1,1,1989.2,24.59,52978,CHI|DEN,Justin Fields/Darnell Mooney (CHI); Drew Lock/Courtland Sutton (DEN),Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),24,natural,none,0,0,1,2178.8,25.31,54543,,,Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),24,none,none,0,0,1,2178.8,25.31,54543,,,Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),24,single,single,1,0,1,2121,24.48,54304,JAX,Trevor Lawrence/Laviska Shenault (JAX),Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),24,multi,multi,2,0,1,2211.9,23.3,54122,JAX|MIA,Trevor Lawrence/Laviska Shenault (JAX); Tua Tagovailoa/Jaylen Waddle (MIA),Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),25,natural,none,0,0,0,2052,25.26,56257,,,Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),25,none,none,0,0,0,2052,25.26,56257,,,Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),25,single,single,1,0,1,1981.9,26.92,56361,JAX,Trevor Lawrence/Laviska Shenault (JAX),Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),25,multi,multi,2,0,1,1931.4,26.09,57323,JAX|MIA,Trevor Lawrence/Laviska Shenault (JAX); Tua Tagovailoa/Jaylen Waddle (MIA),Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),26,natural,none,0,0,1,2219.4,28.22,58330,,,Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),26,none,none,0,0,1,2219.4,28.22,58330,,,Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),26,single,single,1,0,1,2289.1,27.11,58400,HOU,Tyrod Taylor/Brandin Cooks (HOU),Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),26,multi,multi,2,0,1,2018.6,28.4,58317,JAX|HOU,Trevor Lawrence/Laviska Shenault (JAX); Tyrod Taylor/Brandin Cooks (HOU),Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),27,natural,none,0,0,1,2225.4,28.55,53848,,,Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),27,none,none,0,0,1,2225.4,28.55,53848,,,Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),27,single,single,1,0,1,2137.9,32.23,53723,NO,Jameis Winston/Marquez Callaway (NO),Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),27,multi,multi,2,0,1,2082.9,32.81,53484,JAX|NO,Trevor Lawrence/Laviska Shenault (JAX); Jameis Winston/Marquez Callaway (NO),Ja'Marr Chase,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),28,natural,none,0,0,1,2098.7,25.72,53784,,,Michael Thomas,
