year,archetype_id,archetype_label,build_index,variant,stack_class,max_n,n_groups,season_total,weekly_std,roster_value,primary_team,shape,names,all_groups
2021,2024_1,2024 #1 — Let James Cook (16-2),26,double,double,2,1,2293.4,25.61,54257,PHI,WR/TE,DeVonta Smith/Dallas Goedert,PHI:WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),26,triple,triple,3,1,2355.2,23.27,53617,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),27,natural,none,0,0,2004.9,27.68,55070,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),27,none,none,0,0,2004.9,27.68,55070,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),27,double,double,2,1,1952.1,27.97,55556,DEN,WR/WR,Jerry Jeudy/Courtland Sutton,DEN:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),27,triple,triple,3,1,1939.8,30.58,55812,DEN,WR/WR/TE,Jerry Jeudy/Courtland Sutton/Noah Fant,DEN:WR/WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),28,natural,none,0,0,2319.9,27.29,52355,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),28,none,none,0,0,2319.9,27.29,52355,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),28,double,double,2,1,2255.1,26.92,52353,JAX,WR/WR,D.J. Chark/Laviska Shenault,JAX:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),28,triple,triple,3,1,2304.6,25.52,52253,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),29,natural,none,0,0,2109.9,24.01,55696,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),29,none,none,0,0,2109.9,24.01,55696,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),29,double,double,2,1,2277.6,24.86,55817,CIN,WR/WR,Ja'Marr Chase/Tyler Boyd,CIN:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),29,triple,triple,3,1,2068.3,25.22,55420,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),30,natural,none,0,0,2084.6,22.59,53164,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),30,none,none,0,0,2084.6,22.59,53164,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),30,double,double,2,1,2007.6,21.87,53287,JAX,WR/WR,D.J. Chark/Laviska Shenault,JAX:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),30,triple,triple,3,1,2054.4,23.6,52930,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),31,natural,none,0,0,1771.9,17.52,54595,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),31,none,none,0,0,1771.9,17.52,54595,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),31,double,double,2,1,1876,17.03,54713,CIN,WR/WR,Ja'Marr Chase/Tyler Boyd,CIN:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),31,triple,triple,3,1,1868.8,15.13,54686,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),32,natural,none,0,0,2213.6,29.57,55917,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),32,none,none,0,0,2213.6,29.57,55917,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),32,double,double,2,1,2308.7,34.78,56035,CIN,WR/WR,Ja'Marr Chase/Tyler Boyd,CIN:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),32,triple,triple,3,1,2156.9,22.36,55369,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),33,natural,none,0,0,1895.7,26.98,53630,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),33,none,none,0,0,1895.7,26.98,53630,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),33,double,double,2,1,1767.4,25.6,53761,DEN,WR/WR,Jerry Jeudy/Courtland Sutton,DEN:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),33,triple,triple,3,1,1751.9,27.09,54017,DEN,WR/WR/TE,Jerry Jeudy/Courtland Sutton/Noah Fant,DEN:WR/WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),34,natural,none,0,0,2078,26.45,55250,,,,
