name,position,ktc_player_id,ktc_slug,sleeper_id,team,rank_basis,history_days,history_start,history_end
Joe Mixon,RB,273,joe-mixon-273,4018,FA,sf,2273,2020-04-01,2026-06-21
John Metchie,WR,1276,john-metchie-1276,8147,CAR,sf,1573,2022-02-27,2026-06-21
Johnny Wilson,WR,1596,johnny-wilson-1596,11636,PHI,sf,854,2024-02-16,2026-06-21
Jonah Coleman,RB,1939,jonah-coleman-1939,,DEN,sf,123,2026-02-18,2026-06-21
Jonathan Mingo,WR,1450,jonathan-mingo-1450,10225,DAL,sf,1197,2023-03-10,2026-06-21
Jonathan Taylor,RB,634,jonathan-taylor-634,6813,IND,sf,2267,2020-04-07,2026-06-21
Jonathon Brooks,RB,1568,jonathon-brooks-1568,11583,CAR,sf,854,2024-02-16,2026-06-21
Jonnu Smith,TE,84,jonnu-smith-84,4144,FA,sf_tep,2273,2020-04-01,2026-06-21
Jordan Addison,WR,1420,jordan-addison-1420,9756,MIN,sf,1197,2023-03-10,2026-06-21
Jordan James,RB,1755,jordan-james-1755,,SFO,sf,491,2025-02-13,2026-06-21
Jordan Love,QB,596,jordan-love-596,6804,GBP,sf,2218,2020-05-26,2026-06-21
Jordan Mason,RB,1330,jordan-mason-1330,8408,MIN,sf,1486,2022-05-25,2026-06-21
Jordan Watkins,WR,1817,jordan-watkins-1817,,SFO,sf,375,2025-06-09,2026-06-21
Jordan Whittington,WR,1604,jordan-whittington-1604,,LAR,sf,854,2024-02-16,2026-06-21
Jordyn Tyson,WR,1960,jordyn-tyson-1960,,NOS,sf,123,2026-02-18,2026-06-21
Josh Allen,QB,365,josh-allen-365,4984,BUF,sf,2218,2020-05-26,2026-06-21
Josh Downs,WR,1440,josh-downs-1440,9500,IND,sf,1197,2023-03-10,2026-06-21
Josh Jacobs,RB,303,josh-jacobs-303,5850,GBP,sf,2273,2020-04-01,2026-06-21
Joshua Palmer,WR,1065,joshua-palmer-1065,,BUF,sf,1916,2021-03-21,2026-06-21
Julius Chestnut,RB,1325,julius-chestnut-1325,8254,TEN,sf,1498,2022-05-13,2026-06-21
Justice Hill,RB,368,justice-hill-368,5995,BAL,sf,2273,2020-04-01,2026-06-21
Justin Fields,QB,1015,justin-fields-1015,7591,KCC,sf,1922,2021-03-18,2026-06-21
Justin Herbert,QB,599,justin-herbert-599,6797,LAC,sf,2218,2020-05-26,2026-06-21
Justin Jefferson,WR,542,justin-jefferson-542,6794,MIN,sf,2267,2020-04-07,2026-06-21
Juwan Johnson,TE,575,juwan-johnson-575,7002,NOS,sf_tep,2267,2020-04-01,2026-06-21
Kaelon Black,RB,1947,kaelon-black-1947,,SFO,sf,60,2026-04-21,2026-06-21
Kaleb Johnson,RB,1748,kaleb-johnson-1748,,PIT,sf,491,2025-02-13,2026-06-21
Kalel Mullings,RB,1750,kalel-mullings-1750,,TEN,sf,416,2025-02-13,2026-06-21
Kalif Raymond,WR,822,kalif-raymond-822,3634,CHI,sf,2267,2020-04-01,2026-06-21
