season,pos_a,pos_b,pair_key,player_a,player_b,player_id_a,player_id_b,value_a,value_b,value_gap,hvorp_a,hvorp_b,delta
2021,QB,WR,QB_vs_WR,Gardner Minshew,Parris Campbell,6011,5880,1043,1123,-80,19.2,22.2,-3
2021,QB,WR,QB_vs_WR,Gardner Minshew,Donovan Peoples-Jones,6011,6824,1043,1072,-29,19.2,71.9,-52.7
2021,QB,WR,QB_vs_WR,Gardner Minshew,Nico Collins,6011,7569,1043,1068,-25,19.2,43.9,-24.7
2021,QB,WR,QB_vs_WR,Gardner Minshew,Kendrick Bourne,6011,4454,1043,876,167,19.2,122.3,-103.1
2021,QB,WR,QB_vs_WR,Gardner Minshew,Van Jefferson,6011,6853,1043,861,182,19.2,115.1,-95.9
2021,QB,WR,QB_vs_WR,Gardner Minshew,Kadarius Toney,6011,7606,1043,859,184,19.2,43.4,-24.2
2021,QB,WR,QB_vs_WR,Gardner Minshew,KJ Hamler,6011,6805,1043,859,184,19.2,7.4,11.8
2021,QB,WR,QB_vs_WR,Gardner Minshew,Denzel Mims,6011,6849,1043,859,184,19.2,13.3,5.9
2021,QB,WR,QB_vs_WR,Gardner Minshew,Darius Slayton,6011,6149,1043,859,184,19.2,33.7,-14.5
2021,QB,WR,QB_vs_WR,Gardner Minshew,Josh Reynolds,6011,4171,1043,859,184,19.2,50.5,-31.3
2021,QB,WR,QB_vs_WR,Gardner Minshew,Dyami Brown,6011,7587,1043,858,185,19.2,16.1,3.1
2021,QB,WR,QB_vs_WR,Gardner Minshew,Quez Watkins,6011,6927,1043,858,185,19.2,58.6,-39.4
2021,QB,WR,QB_vs_WR,Gardner Minshew,Hunter Renfrow,6011,5955,1043,858,185,19.2,143.2,-124
2021,QB,WR,QB_vs_WR,Gardner Minshew,Demarcus Robinson,6011,3286,1043,858,185,19.2,42.5,-23.3
2021,QB,WR,QB_vs_WR,Marcus Mariota,Tre'Quan Smith,2307,5026,988,1170,-182,12.4,42.1,-29.7
2021,QB,WR,QB_vs_WR,Marcus Mariota,Parris Campbell,2307,5880,988,1123,-135,12.4,22.2,-9.8
2021,QB,WR,QB_vs_WR,Marcus Mariota,Donovan Peoples-Jones,2307,6824,988,1072,-84,12.4,71.9,-59.5
2021,QB,WR,QB_vs_WR,Marcus Mariota,Nico Collins,2307,7569,988,1068,-80,12.4,43.9,-31.5
2021,QB,WR,QB_vs_WR,Marcus Mariota,Kendrick Bourne,2307,4454,988,876,112,12.4,122.3,-109.9
2021,QB,WR,QB_vs_WR,Marcus Mariota,Van Jefferson,2307,6853,988,861,127,12.4,115.1,-102.7
2021,QB,WR,QB_vs_WR,Marcus Mariota,Kadarius Toney,2307,7606,988,859,129,12.4,43.4,-31
2021,QB,WR,QB_vs_WR,Marcus Mariota,KJ Hamler,2307,6805,988,859,129,12.4,7.4,5
2021,QB,WR,QB_vs_WR,Marcus Mariota,Denzel Mims,2307,6849,988,859,129,12.4,13.3,-0.9
2021,QB,WR,QB_vs_WR,Marcus Mariota,Darius Slayton,2307,6149,988,859,129,12.4,33.7,-21.3
2021,QB,WR,QB_vs_WR,Marcus Mariota,Josh Reynolds,2307,4171,988,859,129,12.4,50.5,-38.1
2021,QB,WR,QB_vs_WR,Marcus Mariota,Dyami Brown,2307,7587,988,858,130,12.4,16.1,-3.7
2021,QB,WR,QB_vs_WR,Marcus Mariota,Quez Watkins,2307,6927,988,858,130,12.4,58.6,-46.2
2021,QB,WR,QB_vs_WR,Marcus Mariota,Hunter Renfrow,2307,5955,988,858,130,12.4,143.2,-130.8
2021,QB,WR,QB_vs_WR,Marcus Mariota,Demarcus Robinson,2307,3286,988,858,130,12.4,42.5,-30.1
2021,QB,WR,QB_vs_WR,Marcus Mariota,Jalen Guyton,2307,6421,988,798,190,12.4,61,-48.6
2021,QB,WR,QB_vs_WR,Marcus Mariota,Tim Patrick,2307,4351,988,793,195,12.4,93.9,-81.5
2021,QB,WR,QB_vs_WR,Jordan Love,Parris Campbell,6804,5880,943,1123,-180,13.9,22.2,-8.3
2021,QB,WR,QB_vs_WR,Jordan Love,Donovan Peoples-Jones,6804,6824,943,1072,-129,13.9,71.9,-58
2021,QB,WR,QB_vs_WR,Jordan Love,Nico Collins,6804,7569,943,1068,-125,13.9,43.9,-30
2021,QB,WR,QB_vs_WR,Jordan Love,Kendrick Bourne,6804,4454,943,876,67,13.9,122.3,-108.4
2021,QB,WR,QB_vs_WR,Jordan Love,Van Jefferson,6804,6853,943,861,82,13.9,115.1,-101.2
2021,QB,WR,QB_vs_WR,Jordan Love,Kadarius Toney,6804,7606,943,859,84,13.9,43.4,-29.5
2021,QB,WR,QB_vs_WR,Jordan Love,KJ Hamler,6804,6805,943,859,84,13.9,7.4,6.5
2021,QB,WR,QB_vs_WR,Jordan Love,Denzel Mims,6804,6849,943,859,84,13.9,13.3,0.6
2021,QB,WR,QB_vs_WR,Jordan Love,Darius Slayton,6804,6149,943,859,84,13.9,33.7,-19.8
2021,QB,WR,QB_vs_WR,Jordan Love,Josh Reynolds,6804,4171,943,859,84,13.9,50.5,-36.6
