name,position,team,ktc_value,ktc_pos_rank,adp_stack_rank,adp_eff_rank,bb_avg_adp,adp_avg,competitor_adjusted_value,redraft_value_index,rebuilder_adjusted_value,rebuild_value_index,adp_synthetic,as_of,adp_source
Jonah Coleman,RB,DEN,3134,34,46,45.86,156.4,146.2,1844,0.5884,3552,1.1334,,2026-08-02,hwang_adjusted_positional_adp_2026
Rico Dowdle,RB,PIT,3088,35,32,31.99,87.4,87.4,3217,1.0418,2951,0.9556,,2026-08-02,hwang_adjusted_positional_adp_2026
Courtland Sutton,WR,DEN,3075,54,37,37.39,82.2,90.0,3794,1.2338,2614,0.8501,,2026-08-02,hwang_adjusted_positional_adp_2026
T.J. Hockenson,TE,MIN,3073,21,22,21.83,156.4,156.4,2688,0.8747,3161,1.0286,,2026-08-02,hwang_adjusted_positional_adp_2026
Gunnar Helm,TE,TEN,3058,22,25,24.62,184.6,184.6,2417,0.7904,3240,1.0595,,2026-08-02,hwang_adjusted_positional_adp_2026
Dallas Goedert,TE,PHI,3056,23,14,14.1,120.8,120.8,3631,1.1882,2755,0.9015,,2026-08-02,hwang_adjusted_positional_adp_2026
Travis Kelce,TE,KCC,3051,24,10,10.07,110.0,110.0,4121,1.3507,2424,0.7945,,2026-08-02,hwang_adjusted_positional_adp_2026
Rhamondre Stevenson,RB,NEP,3042,36,29,28.95,77.0,77.0,3461,1.1377,2809,0.9234,,2026-08-02,hwang_adjusted_positional_adp_2026
Jalen McMillan,WR,TBB,3027,55,58,57.98,151.8,148.6,2108,0.6964,3061,1.0112,,2026-08-02,hwang_adjusted_positional_adp_2026
Antonio Williams,WR,WAS,3026,56,68,68.28,174.6,177.1,1381,0.4564,3333,1.1015,,2026-08-02,hwang_adjusted_positional_adp_2026
Jacory Croskey-Merritt,RB,WAS,3020,37,40,39.95,125.6,121.2,2374,0.7861,3091,1.0235,,2026-08-02,hwang_adjusted_positional_adp_2026
Ricky Pearsall,WR,SFO,3020,57,47,46.62,105.6,104.4,3228,1.0689,2776,0.9192,,2026-08-02,hwang_adjusted_positional_adp_2026
Romeo Doubs,WR,NEP,3012,58,49,49.21,121.2,115.9,3018,1.002,2806,0.9316,,2026-08-02,hwang_adjusted_positional_adp_2026
J.K. Dobbins,RB,DEN,3007,38,36,35.98,102.6,102.6,2790,0.9278,2942,0.9784,,2026-08-02,hwang_adjusted_positional_adp_2026
Jakobi Meyers,WR,JAC,2991,59,48,47.84,104.2,107.9,3141,1.0502,2737,0.9151,,2026-08-02,hwang_adjusted_positional_adp_2026
Chris Bell,WR,MIA,2983,60,91,90.74,223.2,259.3,612,0.2052,3701,1.2407,,2026-08-02,hwang_adjusted_positional_adp_2026
Kenneth Gainwell,RB,TBB,2972,39,34,34.16,96.8,96.8,2971,0.9997,2847,0.9579,,2026-08-02,hwang_adjusted_positional_adp_2026
Chris Godwin,WR,TBB,2956,61,42,42.0,92.0,99.9,3587,1.2135,2472,0.8363,,2026-08-02,hwang_adjusted_positional_adp_2026
