year,ktc_snapshot_date,name,position,team,ktc_value,ktc_pos_rank,adp_stack_rank,adp_eff_rank,bb_avg_adp,adp_avg,competitor_adjusted_value,redraft_value_index,rebuilder_adjusted_value,rebuild_value_index,adp_synthetic,adp_source
2020,2020-09-10,Chase Edmonds,RB,,2154,28,47,53.2,122.5,127.2,1264,0.5868,3152,1.4633,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Jalen Hurts,QB,,2144,24,40,40.28,386.0,386.0,827,0.3857,3567,1.6637,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,KJ Hamler,WR,,2048,46,100,103.08,287.0,275.3,729,0.356,3498,1.708,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Jameis Winston,QB,,2031,25,35,34.83,300.0,300.0,1250,0.6155,2864,1.4101,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Hunter Renfrow,WR,,1844,47,71,79.66,181.0,205.0,1224,0.6638,2671,1.4485,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Cole Kmet,TE,,1806,17,47,45.7,338.0,338.0,751,0.4158,2998,1.66,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Ke'Shawn Vaughn,RB,,1802,29,61,61.1,185.0,192.3,944,0.5239,2917,1.6188,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Dawson Knox,TE,,1795,18,27,32.03,224.5,224.5,1303,0.7259,2379,1.3253,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Allen Lazard,WR,,1736,48,63,72.07,163.5,167.6,1450,0.8353,2260,1.3018,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,James Robinson,RB,,1707,30,78,78.21,201.0,247.2,663,0.3884,3033,1.7768,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Ian Thomas,TE,,1644,19,22,22.27,172.5,172.5,1343,0.8169,1942,1.1813,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Rashaad Penny,RB,,1586,31,74,74.37,255.0,234.8,763,0.4811,2733,1.7232,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Nyheim Hines,RB,,1434,32,118,118.62,,,263,0.1834,2514,1.7531,1,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Tyrod Taylor,QB,,1376,26,29,31.41,218.0,218.0,898,0.6526,1919,1.3946,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Devin Duvernay,WR,,1268,49,104,106.7,293.0,293.0,791,0.6238,2217,1.7484,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Boston Scott,RB,,1262,33,45,52.45,117.5,117.5,1297,1.0277,1647,1.3051,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Joshua Kelley,RB,,1248,34,60,59.61,175.0,184.6,989,0.7925,1910,1.5304,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,David Njoku,TE,,1220,20,36,36.02,274.0,274.0,1131,0.927,1567,1.2844,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Gerald Everett,TE,,1191,21,29,34.59,233.5,233.5,1197,1.005,1407,1.1814,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Will Dissly,TE,,908,22,31,35.18,242.0,242.0,1172,1.2907,1128,1.2423,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Mitchell Trubisky,QB,,866,27,32,34.47,262.0,262.0,1276,1.4734,1001,1.1559,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Josh Reynolds,WR,,865,50,77,79.72,231.0,220.6,1222,1.4127,1407,1.6266,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Jerick McKinnon,RB,,837,35,67,67.48,191.5,203.5,942,1.1254,1424,1.7013,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Eno Benjamin,RB,,830,36,81,81.3,278.0,254.9,579,0.6976,1682,2.0265,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,DeeJay Dallas,RB,,817,37,80,80.29,270.0,254.2,607,0.743,1608,1.9682,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Tyler Johnson,WR,,748,51,127,126.9,374.0,374.0,444,0.5936,1760,2.3529,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Harrison Bryant,TE,,718,23,54,54.13,360.0,360.0,596,0.8301,1304,1.8162,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Jarrett Stidham,QB,,693,28,36,36.26,328.0,328.0,1113,1.6061,847,1.2222,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Demarcus Robinson,WR,,647,52,101,103.8,286.0,275.7,718,1.1097,1375,2.1252,,hwang_adjusted_positional_adp_2020
