format,scope,year,archetype_id,pair_key,pos_a,pos_b,pair_plugs,total_hvorp_a,total_hvorp_b,rel_diff_pct
hwang,archetype,2022,2025_6,RB_vs_WR,RB,WR,3910,306517.2,202620.3,40.8
hwang,archetype,2022,2025_6,RB_vs_TE,RB,TE,1670,88439.3,88953.7,-0.6
hwang,archetype,2022,2025_6,WR_vs_TE,WR,TE,1870,76672.1,104743.8,-30.9
hwang,archetype,2022,2025_7,QB_vs_RB,QB,RB,1260,83809.7,143781,-52.7
hwang,archetype,2022,2025_7,QB_vs_WR,QB,WR,2000,143416,87242.7,48.7
hwang,archetype,2022,2025_7,QB_vs_TE,QB,TE,590,31977.4,21751,38.1
hwang,archetype,2022,2025_7,RB_vs_WR,RB,WR,3910,448067,150225,99.6
hwang,archetype,2022,2025_7,RB_vs_TE,RB,TE,1670,136947,59845.2,78.4
hwang,archetype,2022,2025_7,WR_vs_TE,WR,TE,1870,55635.3,72831,-26.8
hwang,archetype,2022,2026_1,QB_vs_RB,QB,RB,1260,39232.3,75899.4,-63.7
hwang,archetype,2022,2026_1,QB_vs_WR,QB,WR,2000,62013.1,83364.7,-29.4
hwang,archetype,2022,2026_1,QB_vs_TE,QB,TE,590,14291.5,19839.9,-32.5
hwang,archetype,2022,2026_1,RB_vs_WR,RB,WR,3910,235983.8,143379.7,48.8
hwang,archetype,2022,2026_1,RB_vs_TE,RB,TE,1670,66177.6,55045.6,18.4
hwang,archetype,2022,2026_1,WR_vs_TE,WR,TE,1870,52394.4,66857.4,-24.3
hwang,archetype,2022,2026_2,QB_vs_RB,QB,RB,1260,60168.5,89892.4,-39.6
hwang,archetype,2022,2026_2,QB_vs_WR,QB,WR,2000,101926.7,93944.6,8.2
hwang,archetype,2022,2026_2,QB_vs_TE,QB,TE,590,23298.6,24611,-5.5
hwang,archetype,2022,2026_2,RB_vs_WR,RB,WR,3910,279643.9,162437,53
hwang,archetype,2022,2026_2,RB_vs_TE,RB,TE,1670,79571.4,67392.8,16.6
hwang,archetype,2022,2026_2,WR_vs_TE,WR,TE,1870,60149.1,82097.5,-30.9
hwang,archetype,2022,2026_3,QB_vs_RB,QB,RB,1260,81814.3,89477.6,-8.9
hwang,archetype,2022,2026_3,QB_vs_WR,QB,WR,2000,133132.3,87521.5,41.3
