format,year,archetype_id,player_id,avg_hvorp,build_count
hwang,2021,2024_3,5026,23.1,10
hwang,2021,2024_3,5038,26.3,10
hwang,2021,2024_3,5045,53.6,10
hwang,2021,2024_3,5089,36.3,10
hwang,2021,2024_3,5122,61.9,10
hwang,2021,2024_3,5133,56.8,10
hwang,2021,2024_3,5137,0,10
hwang,2021,2024_3,5185,51.3,10
hwang,2021,2024_3,5248,0,10
hwang,2021,2024_3,5284,28.6,10
hwang,2021,2024_3,5323,4,10
hwang,2021,2024_3,5347,35.3,10
hwang,2021,2024_3,5374,0,10
hwang,2021,2024_3,5409,0,10
hwang,2021,2024_3,5844,76.5,10
hwang,2021,2024_3,5846,111.2,10
hwang,2021,2024_3,5848,85.7,10
hwang,2021,2024_3,5850,103.3,10
hwang,2021,2024_3,5854,2.9,10
hwang,2021,2024_3,5857,72.5,10
hwang,2021,2024_3,5859,73.9,10
hwang,2021,2024_3,5870,78.3,10
hwang,2021,2024_3,5872,185.1,10
hwang,2021,2024_3,5880,11.1,10
hwang,2021,2024_3,5892,98.7,10
hwang,2021,2024_3,5906,80.1,10
hwang,2021,2024_3,5917,28.6,10
hwang,2021,2024_3,5927,80.4,10
hwang,2021,2024_3,5937,109,10
hwang,2021,2024_3,5938,15.8,10
hwang,2021,2024_3,5947,50.9,10
hwang,2021,2024_3,5955,91.8,10
hwang,2021,2024_3,5967,68.1,10
hwang,2021,2024_3,5973,3.4,10
hwang,2021,2024_3,5980,78.9,10
hwang,2021,2024_3,5987,56.4,10
hwang,2021,2024_3,6001,2.4,10
hwang,2021,2024_3,6011,6,10
hwang,2021,2024_3,6039,46.7,10
hwang,2021,2024_3,6074,23.3,10
hwang,2021,2024_3,6130,84.7,10
hwang,2021,2024_3,6144,0.2,10
hwang,2021,2024_3,6149,15.5,10
hwang,2021,2024_3,6151,50,10
hwang,2021,2024_3,6234,42,10
hwang,2021,2024_3,6271,23.8,10
hwang,2021,2024_3,6290,0,10
hwang,2021,2024_3,6421,28.5,10
hwang,2021,2024_3,6598,0.9,10
hwang,2021,2024_3,6659,11,10
hwang,2021,2024_3,6694,45.3,10
hwang,2021,2024_3,6768,73.3,10
hwang,2021,2024_3,6770,184.3,10
hwang,2021,2024_3,6783,17,10
hwang,2021,2024_3,6786,101.4,10
hwang,2021,2024_3,6790,95.5,10
hwang,2021,2024_3,6794,147,10
hwang,2021,2024_3,6797,218.6,10
hwang,2021,2024_3,6801,100.5,10
hwang,2021,2024_3,6803,58.1,10
hwang,2021,2024_3,6804,6.9,10
hwang,2021,2024_3,6805,0.6,10
hwang,2021,2024_3,6806,0,10
hwang,2021,2024_3,6813,263.7,10
hwang,2021,2024_3,6814,19.8,10
