league,match_id,minute,elapsed,elapsed_plus
England Premier League,1930,4,4,0
England Premier League,1930,7,7,0
England Premier League,1930,38,38,0
England Premier League,1930,44,44,0
England Premier League,1931,79,79,0
England Premier League,1932,14,14,0
England Premier League,1932,73,73,0
England Premier League,1933,34,34,0
England Premier League,1934,52,52,0
England Premier League,1934,65,65,0
England Premier League,1935,9,9,0
England Premier League,1935,20,20,0
England Premier League,1935,56,56,0
England Premier League,1936,24,24,0
England Premier League,1936,89,89,0
England Premier League,1938,93,90,3
England Premier League,1939,23,23,0
England Premier League,1939,28,28,0
England Premier League,1939,44,44,0
England Premier League,1939,77,77,0
England Premier League,1939,91,90,1
England Premier League,1940,2,2,0
England Premier League,1940,65,65,0
England Premier League,1940,87,87,0
England Premier League,1940,92,90,2
England Premier League,1941,12,12,0
England Premier League,1941,41,41,0
England Premier League,1941,46,45,1
England Premier League,1943,5,5,0
England Premier League,1943,50,50,0
England Premier League,1943,85,85,0
England Premier League,1944,18,18,0
England Premier League,1944,24,24,0
England Premier League,1944,52,52,0
England Premier League,1944,91,90,1
England Premier League,1945,30,30,0
England Premier League,1945,94,90,4
England Premier League,1946,42,42,0
England Premier League,1946,46,45,1
England Premier League,1946,56,56,0
England Premier League,1946,88,88,0
England Premier League,1947,9,9,0
England Premier League,1947,38,38,0
England Premier League,1948,18,18,0
England Premier League,1949,12,12,0
England Premier League,1949,30,30,0
England Premier League,1949,63,63,0
England Premier League,1950,18,18,0
England Premier League,1950,42,42,0
England Premier League,1950,60,60,0
England Premier League,1951,46,45,1
England Premier League,1951,51,51,0
England Premier League,1951,58,58,0
England Premier League,1952,13,13,0
England Premier League,1952,21,21,0
England Premier League,1952,22,22,0
England Premier League,1952,93,90,3
England Premier League,1952,95,90,5
England Premier League,1954,12,12,0
England Premier League,1954,40,40,0
England Premier League,1954,69,69,0
England Premier League,1955,38,38,0
England Premier League,1955,72,72,0
England Premier League,1955,86,86,0
England Premier League,1957,5,5,0
England Premier League,1957,13,13,0
England Premier League,1957,63,63,0
England Premier League,1957,68,68,0
England Premier League,1957,81,81,0
England Premier League,1958,27,27,0
England Premier League,1958,46,45,1
England Premier League,1959,8,8,0
England Premier League,1959,33,33,0
England Premier League,1959,39,39,0
England Premier League,1959,50,50,0
England Premier League,1959,65,65,0
England Premier League,1960,50,50,0
England Premier League,1961,57,57,0
England Premier League,1961,58,58,0
England Premier League,1961,64,64,0
England Premier League,1961,67,67,0
England Premier League,1962,56,56,0
England Premier League,1963,35,35,0
England Premier League,1963,51,51,0
England Premier League,1964,18,18,0
England Premier League,1964,87,87,0
England Premier League,1965,67,67,0
England Premier League,1965,82,82,0
England Premier League,1966,4,4,0
England Premier League,1966,22,22,0
England Premier League,1966,75,75,0
England Premier League,1967,84,84,0
England Premier League,1968,84,84,0
England Premier League,1969,14,14,0
England Premier League,1969,30,30,0
England Premier League,1969,58,58,0
England Premier League,1969,80,80,0
England Premier League,1969,93,90,3
England Premier League,1970,8,8,0
England Premier League,1970,49,49,0
England Premier League,1971,42,42,0
England Premier League,1971,52,52,0
England Premier League,1972,26,26,0
England Premier League,1972,47,47,0
England Premier League,1972,51,51,0
England Premier League,1972,61,61,0
England Premier League,1973,56,56,0
England Premier League,1973,65,65,0
England Premier League,1974,30,30,0
England Premier League,1974,82,82,0
England Premier League,1974,89,89,0
England Premier League,1975,92,90,2
England Premier League,1976,8,8,0
England Premier League,1976,38,38,0
England Premier League,1976,44,44,0
England Premier League,1976,78,78,0
England Premier League,1976,84,84,0
England Premier League,1977,2,2,0
England Premier League,1977,49,49,0
England Premier League,1979,5,5,0
England Premier League,1979,33,33,0
England Premier League,1979,83,83,0
England Premier League,1979,90,90,0
England Premier League,1980,19,19,0
England Premier League,1980,55,55,0
England Premier League,1980,76,76,0
England Premier League,1981,65,65,0
England Premier League,1982,19,19,0
England Premier League,1982,23,23,0
England Premier League,1982,33,33,0
England Premier League,1982,53,53,0
England Premier League,1982,55,55,0
England Premier League,1982,66,66,0
England Premier League,1983,3,3,0
England Premier League,1983,9,9,0
England Premier League,1983,29,29,0
England Premier League,1983,90,90,0
England Premier League,1984,28,28,0
England Premier League,1984,50,50,0
England Premier League,1984,59,59,0
England Premier League,1984,83,83,0
England Premier League,1985,33,33,0
England Premier League,1985,48,48,0
England Premier League,1985,62,62,0
England Premier League,1985,65,65,0
England Premier League,1986,33,33,0
England Premier League,1986,81,81,0
England Premier League,1987,18,18,0
England Premier League,1987,61,61,0
England Premier League,1987,71,71,0
England Premier League,1987,90,90,0
England Premier League,1987,92,90,2
England Premier League,1988,40,40,0
England Premier League,1988,48,48,0
England Premier League,1988,60,60,0
England Premier League,1988,63,63,0
England Premier League,1988,70,70,0
England Premier League,1988,74,74,0
England Premier League,1988,78,78,0
England Premier League,1989,36,36,0
England Premier League,1989,49,49,0
England Premier League,1989,56,56,0
England Premier League,1989,67,67,0
England Premier League,1989,70,70,0
England Premier League,1989,72,72,0
England Premier League,1989,91,90,1
England Premier League,1989,93,90,3
England Premier League,1990,48,45,3
England Premier League,1991,24,24,0
England Premier League,1992,11,11,0
England Premier League,1992,85,85,0
England Premier League,1994,8,8,0
England Premier League,1994,21,21,0
England Premier League,1994,37,37,0
England Premier League,1994,54,54,0
England Premier League,1994,56,56,0
England Premier League,1994,94,90,4
England Premier League,1995,78,78,0
England Premier League,1996,75,75,0
England Premier League,1997,28,28,0
England Premier League,1997,61,61,0
England Premier League,1997,86,86,0
England Premier League,1999,29,29,0
England Premier League,1999,32,32,0
England Premier League,1999,57,57,0
England Premier League,1999,67,67,0
England Premier League,1999,68,68,0
England Premier League,1999,71,71,0
England Premier League,1999,79,79,0
England Premier League,2000,26,26,0
England Premier League,2000,67,67,0
England Premier League,2001,55,55,0
England Premier League,2002,35,35,0
England Premier League,2002,54,54,0
England Premier League,2002,94,90,4
England Premier League,2004,46,45,1
England Premier League,2004,60,60,0
England Premier League,2005,29,29,0
England Premier League,2006,43,43,0
England Premier League,2006,60,60,0
England Premier League,2007,40,40,0
England Premier League,2007,58,58,0
England Premier League,2007,88,88,0
England Premier League,2008,45,45,0
England Premier League,2008,63,63,0
England Premier League,2008,72,72,0
England Premier League,2008,89,89,0
England Premier League,2009,22,22,0
England Premier League,2009,28,28,0
England Premier League,2009,87,87,0
England Premier League,2010,48,48,0
England Premier League,2010,71,71,0
England Premier League,2011,43,43,0
England Premier League,2012,34,34,0
England Premier League,2013,25,25,0
England Premier League,2013,51,51,0
England Premier League,2014,27,27,0
England Premier League,2014,34,34,0
England Premier League,2014,47,45,2
England Premier League,2014,66,66,0
England Premier League,2015,13,13,0
